"","NucCoreID","BioSampleID","N.betalactamase.hits","Gene.hits","Country","Region","Year","TaxSpecies","TaxGenus","TaxFamily","TaxOrder","TaxClass","TaxPhylum","NCBI.host","NCBI.isolation_source","NCBI.env_local_scale","NCBI.collected_by","Contig"
"NZ_CP008910.1","NZ_CP008910.1","SAMN02902465",1,"OXA-59","Australia","East Asia & Pacific","2011","Burkholderia pseudomallei","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Homo sapiens","sputum",NA,NA,"chromosome"
"NZ_CP008891.1","NZ_CP008891.1","SAMN02902606",1,"OXA-57","Australia","East Asia & Pacific","2011","Burkholderia pseudomallei","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Homo sapiens","sputum",NA,NA,"chromosome"
"NZ_CP008912.1","NZ_CP008912.1","SAMN02902608",1,"OXA-59","missing","missing","2010","Burkholderia pseudomallei","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria",NA,"Tracheal suction",NA,NA,"chromosome"
"NZ_CP008893.1","NZ_CP008893.1","SAMN02902612",1,"OXA-57","missing","missing","2011","Burkholderia pseudomallei","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria",NA,"tracheal suction",NA,NA,"chromosome"
"NZ_CP008917.1","NZ_CP008917.1","SAMN02902623",1,"OXA-57","missing","missing","missing","Burkholderia pseudomallei","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria",NA,"unknown",NA,NA,"chromosome"
"NZ_CP009053.1","NZ_CP009053.1","SAMN02928551",1,"TEM-1","South Korea","East Asia & Pacific","2001","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"stool",NA,NA,"plasmid"
"NZ_CP026053.1","NZ_CP026053.1","SAMN02934521",1,"TEM-1","US","North America","2013","Salmonella enterica","Salmonella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","abscess",NA,"Children's National Hospital","plasmid"
"NZ_CP026055.1","NZ_CP026055.1","SAMN02934523",1,"OXA-780","US","North America","2013","Aeromonas caviae","Aeromonas","Aeromonadaceae","Aeromonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","stool",NA,"Children's National Hospital","chromosome"
"NZ_CP026056.1","NZ_CP026056.1","SAMN02934525",1,"CMY-109","US","North America","2013","Citrobacter freundii","Citrobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","lung tissue grind",NA,"Children's National Hospital","chromosome"
"NZ_CP031509.1","NZ_CP031509.1","SAMN02934542",1,"TEM-54","US","North America","2013","Providencia stuartii","Providencia","Morganellaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","endotracheal aspirate",NA,"Children's National Hospital","plasmid"
"NZ_CP009257.1","NZ_CP009257.1","SAMN02940899",3,"TEM-1,OXA-23,OXA-65","Canada","North America","2010","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","hospital",NA,"A. Kumar","chromosome"
"NZ_CP009256.1","NZ_CP009256.1","SAMN02940901",1,"OXA-70","Canada","North America","2010","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","hospital",NA,"A. Kumar","chromosome"
"NZ_CP009210.1","NZ_CP009210.1","SAMN02945025",1,"OXA-59","Australia","East Asia & Pacific","1994","Burkholderia pseudomallei","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Homo sapiens","brain",NA,NA,"chromosome"
"NZ_CP009127.1","NZ_CP009127.1","SAMN02945026",1,"OXA-59","missing","missing","missing","Burkholderia pseudomallei","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria",NA,"unknown",NA,NA,"chromosome"
"NZ_CP021380.2","NZ_CP021380.2","SAMN02947975",2,"OXA-494,OXA-56","Brazil","Latin America & Caribbean","2008","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","catheter tip",NA,"Goiais","chromosome"
"NZ_CP009160.1","NZ_CP009160.1","SAMN02951644",1,"OXA-59","Australia","East Asia & Pacific","missing","Burkholderia pseudomallei","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria",NA,"environmental sample",NA,NA,"chromosome"
"NZ_CP009163.1","NZ_CP009163.1","SAMN02951646",1,"OXA-59","Papua New Guinea","East Asia & Pacific","missing","Burkholderia pseudomallei","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria",NA,"environmental sample",NA,NA,"chromosome"
"NZ_CP009156.1","NZ_CP009156.1","SAMN02951647",1,"OXA-59","Australia","East Asia & Pacific","missing","Burkholderia pseudomallei","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria",NA,"environmental sample",NA,NA,"chromosome"
"NZ_CP009150.1","NZ_CP009150.1","SAMN02951654",1,"OXA-59","Papua New Guinea","East Asia & Pacific","missing","Burkholderia pseudomallei","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria",NA,"environmental sample",NA,NA,"chromosome"
"NZ_CP009164.1","NZ_CP009164.1","SAMN02951655",1,"OXA-59","Papua New Guinea","East Asia & Pacific","missing","Burkholderia pseudomallei","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria",NA,"environmental sample",NA,NA,"chromosome"
"NZ_CP009152.1","NZ_CP009152.1","SAMN02951657",1,"OXA-59","Australia","East Asia & Pacific","missing","Burkholderia pseudomallei","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria",NA,"environmental sample",NA,NA,"chromosome"
"NZ_CP009208.1","NZ_CP009208.1","SAMN02982872",1,"SHV-1","US","North America","2000","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"Spontaneous rifampin-resistant isolate from ATCC 43816",NA,NA,"chromosome"
"NZ_CP009234.1","NZ_CP009234.1","SAMN02990927",1,"OXA-57","Australia","East Asia & Pacific","missing","Burkholderia pseudomallei","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Homo sapiens","clinical isolate",NA,NA,"chromosome"
"NZ_CP013024.1","NZ_CP013024.1","SAMN02991226",1,"TEM-1","US","North America","2008","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","stool",NA,"CDC","plasmid"
"NZ_CP013025.1","NZ_CP013025.1","SAMN02991226",1,"TEM-1","US","North America","2008","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","stool",NA,"CDC","chromosome"
"NZ_CP013027.1","NZ_CP013027.1","SAMN02991226",2,"TEM-1,TEM-201","US","North America","2008","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","stool",NA,"CDC","plasmid"
"NZ_CP004056.1","NZ_CP004056.1","SAMN02999960",1,"OXA-1","missing","missing","2003","Shigella flexneri","Shigella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","feces",NA,"missing","chromosome"
"NZ_JQGM01000063.1","NZ_JQGM01000063.1","SAMN03002380",2,"TEM-1,CTX-M-154","Netherlands","Europe & Central Asia","2012","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","clinical samples",NA,"J. Arends","plasmid"
"NZ_CP009269.1","NZ_CP009269.1","SAMN03004264",1,"OXA-57","Australia","East Asia & Pacific","missing","Burkholderia pseudomallei","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Homo sapiens","clinical isolate",NA,NA,"chromosome"
"NZ_CP009272.1","NZ_CP009272.1","SAMN03008919",1,"OXA-59","Australia","East Asia & Pacific","missing","Burkholderia pseudomallei","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Homo sapiens","clinical isolate",NA,NA,"chromosome"
"NZ_CP009297.1","NZ_CP009297.1","SAMN03010441",1,"OXA-59","Thailand","East Asia & Pacific","1988","Burkholderia pseudomallei","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Homo sapiens","human",NA,NA,"chromosome"
"NZ_CP009550.1","NZ_CP009550.1","SAMN03023795",1,"OXA-57","US","North America","2008","Burkholderia pseudomallei","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria",NA,"Human Clinical",NA,NA,"chromosome"
"NZ_CP017934.1","NZ_CP017934.1","SAMN03024573",1,"SHV-1","United States of America","North America","2007","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Abdominal Abscess",NA,"Clinical Microbiology University of Virginia Health System","chromosome"
"NZ_CP017936.1","NZ_CP017936.1","SAMN03024573",1,"OXA-796","United States of America","North America","2007","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Abdominal Abscess",NA,"Clinical Microbiology University of Virginia Health System","plasmid"
"NZ_CP017937.1","NZ_CP017937.1","SAMN03024573",2,"TEM-1,KPC-2","United States of America","North America","2007","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Abdominal Abscess",NA,"Clinical Microbiology University of Virginia Health System","plasmid"
"NZ_CP018668.1","NZ_CP018668.1","SAMN03024576",2,"TEM-1,KPC-2","United States of America","North America","2008","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urine",NA,"Clinical Microbiology University of Virginia Health System","plasmid"
"NZ_CP018669.1","NZ_CP018669.1","SAMN03024576",2,"SHV-7,KPC-2","United States of America","North America","2008","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urine",NA,"Clinical Microbiology University of Virginia Health System","plasmid"
"NZ_CP018671.1","NZ_CP018671.1","SAMN03024576",1,"SHV-11","United States of America","North America","2008","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urine",NA,"Clinical Microbiology University of Virginia Health System","chromosome"
"NZ_CP011645.1","NZ_CP011645.1","SAMN03024583",3,"TEM-1,KPC-3,OXA-9","United States of America","North America","2012","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Perirectal",NA,"Clinical Microbiology University of Virginia Health System","plasmid"
"NZ_CP011646.1","NZ_CP011646.1","SAMN03024583",2,"SHV-134,KPC-3","United States of America","North America","2012","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Perirectal",NA,"Clinical Microbiology University of Virginia Health System","plasmid"
"NZ_CP011647.1","NZ_CP011647.1","SAMN03024583",1,"SHV-11","United States of America","North America","2012","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Perirectal",NA,"Clinical Microbiology University of Virginia Health System","chromosome"
"NZ_CP018675.1","NZ_CP018675.1","SAMN03024585",1,"KPC-4","United States of America","North America","2010","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urine",NA,"Clinical Microbiology University of Virginia Health System","plasmid"
"NZ_CP018676.1","NZ_CP018676.1","SAMN03024585",2,"SHV-11,KPC-4","United States of America","North America","2010","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urine",NA,"Clinical Microbiology University of Virginia Health System","chromosome"
"NZ_CP011620.1","NZ_CP011620.1","SAMN03024590",1,"TEM-1","United States of America","North America","2010","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urine",NA,"Clinical Microbiology University of Virginia Health System","plasmid"
"NZ_CP011621.1","NZ_CP011621.1","SAMN03024590",2,"TEM-1,OXA-9","United States of America","North America","2010","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urine",NA,"Clinical Microbiology University of Virginia Health System","plasmid"
"NZ_CP011622.1","NZ_CP011622.1","SAMN03024590",4,"TEM-1,SHV-7,KPC-2,OXA-9","United States of America","North America","2010","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urine",NA,"Clinical Microbiology University of Virginia Health System","plasmid"
"NZ_CP011624.1","NZ_CP011624.1","SAMN03024590",1,"SHV-11","United States of America","North America","2010","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urine",NA,"Clinical Microbiology University of Virginia Health System","chromosome"
"NZ_CP011575.1","NZ_CP011575.1","SAMN03024610",2,"TEM-1,KPC-3","United States of America","North America","2011","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","sputum",NA,"Clinical Microbiology University of Virginia Health System","plasmid"
"NZ_CP011576.1","NZ_CP011576.1","SAMN03024610",1,"OXA-796","United States of America","North America","2011","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","sputum",NA,"Clinical Microbiology University of Virginia Health System","plasmid"
"NZ_CP011578.1","NZ_CP011578.1","SAMN03024610",3,"SHV-11,CTX-M-15,KPC-3","United States of America","North America","2011","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","sputum",NA,"Clinical Microbiology University of Virginia Health System","chromosome"
"NZ_CP010374.1","NZ_CP010374.1","SAMN03067414",2,"TEM-1,KPC-45","US","North America","2009","Enterobacter hormaechei","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","bodily fluid",NA,"Barry Kreiswirth","plasmid"
"NZ_CP012170.1","NZ_CP012170.1","SAMN03067414",1,"SHV-134","US","North America","2009","Enterobacter hormaechei","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","bodily fluid",NA,"Barry Kreiswirth","plasmid"
"NZ_CP010363.1","NZ_CP010363.1","SAMN03067415",3,"TEM-1,KPC-3,OXA-9","US","North America","2011","Enterobacter hormaechei","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","bodily fluid",NA,"Barry Kreiswirth","plasmid"
"NZ_CP010379.1","NZ_CP010379.1","SAMN03067416",2,"TEM-1,KPC-2","US","North America","2010","Enterobacter hormaechei","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","bodily fluid",NA,"Barry Kreiswirth","plasmid"
"NZ_CP012168.1","NZ_CP012168.1","SAMN03067417",3,"TEM-1,KPC-4,OXA-1","US","North America","2011","Enterobacter hormaechei","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","bodily fluid",NA,"Barry Kreiswirth","plasmid"
"NZ_CP012169.1","NZ_CP012169.1","SAMN03067417",1,"TEM-1","US","North America","2011","Enterobacter hormaechei","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","bodily fluid",NA,"Barry Kreiswirth","plasmid"
"NZ_CP010387.1","NZ_CP010387.1","SAMN03067418",2,"TEM-1,KPC-3","US","North America","2011","Enterobacter hormaechei","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","excreted bodily substance",NA,"Barry Kreiswirth","plasmid"
"NZ_CP012163.1","NZ_CP012163.1","SAMN03067419",3,"TEM-1,KPC-3,OXA-9","US","North America","2010","Enterobacter roggenkampii","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","excreted bodily substance",NA,"Barry Kreiswirth","plasmid"
"NZ_CP010362.1","NZ_CP010362.1","SAMN03067421",5,"TEM-206,TEM-40,KPC-2,OXA-896,OXA-9","US","North America","2012","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","bodily fluid",NA,"Barry Kreiswirth","plasmid"
"NZ_CP010392.1","NZ_CP010392.1","SAMN03067424",1,"SHV-11","US","North America","2011","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","bodily fluid",NA,"Barry Kreiswirth","chromosome"
"NZ_CP010396.1","NZ_CP010396.1","SAMN03067424",5,"TEM-1,TEM-40,KPC-2,OXA-896,OXA-9","US","North America","2011","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","bodily fluid",NA,"Barry Kreiswirth","plasmid"
"NZ_JXMX01000006.1","NZ_JXMX01000006.1","SAMN03067747",1,"CTX-M-1","Netherlands","Europe & Central Asia","2010","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"chicken retail meat",NA,NA,"plasmid"
"NZ_JXMX01000007.1","NZ_JXMX01000007.1","SAMN03067747",1,"CMY-2","Netherlands","Europe & Central Asia","2010","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"chicken retail meat",NA,NA,"plasmid"
"NZ_CP009579.1","NZ_CP009579.1","SAMN03067748",1,"TEM-1","Netherlands","Europe & Central Asia","2011","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"Pig (faeces)",NA,NA,"plasmid"
"NZ_CP009580.1","NZ_CP009580.1","SAMN03067748",1,"CTX-M-1","Netherlands","Europe & Central Asia","2011","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"Pig (faeces)",NA,NA,"plasmid"
"NZ_CP009473.1","NZ_CP009473.1","SAMN03068727",1,"OXA-59","Australia","East Asia & Pacific","1999","Burkholderia pseudomallei","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria",NA,"Human Brain Tissue",NA,NA,"chromosome"
"NZ_CP009477.1","NZ_CP009477.1","SAMN03074056",1,"OXA-59","Australia","East Asia & Pacific","missing","Burkholderia pseudomallei","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria",NA,"Unknown",NA,NA,"chromosome"
"NZ_CP009534.1","NZ_CP009534.1","SAMN03075316",2,"TEM-1,OXA-65","missing","missing","missing","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Not applicable","Not applicable",NA,"Not applicable","chromosome"
"NZ_JRKV01000084.1","NZ_JRKV01000084.1","SAMN03075589",1,"OXA-181","US","North America","2014","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Wound - sacrum",NA,"MRSN","plasmid"
"NZ_JRKW01000020.1","NZ_JRKW01000020.1","SAMN03075590",1,"OXA-181","US","North America","2014","Morganella morganii","Morganella","Morganellaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Wound - sacrum",NA,"MRSN","plasmid"
"NZ_CP009537.1","NZ_CP009537.1","SAMN03075610",1,"OXA-59","Thailand","East Asia & Pacific","1993","Burkholderia pseudomallei","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria",NA,"Human Clinical",NA,NA,"chromosome"
"NZ_CP009536.1","NZ_CP009536.1","SAMN03075630",1,"OXA-57","Ecuador","Latin America & Caribbean","1962","Burkholderia pseudomallei","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria",NA,"Human clinical",NA,NA,"chromosome"
"NZ_CP009546.1","NZ_CP009546.1","SAMN03075633",1,"OXA-59","Australia","East Asia & Pacific","1995","Burkholderia pseudomallei","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Menzies School of Health Research","chromosome"
"NZ_JRLA01000053.1","NZ_JRLA01000053.1","SAMN03075668",1,"CMY-136","US","North America","2012","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Meleagris gallopavo","cecum",NA,NA,"plasmid"
"NZ_JROQ01000083.1","NZ_JROQ01000083.1","SAMN03075669",1,"CMY-136","US","North America","2012","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"Turkey cecum",NA,NA,"plasmid"
"NZ_JRPZ01000079.1","NZ_JRPZ01000079.1","SAMN03075670",1,"CMY-2","US","North America","2012","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"Turkey cecum",NA,NA,"plasmid"
"NZ_JRQA01000080.1","NZ_JRQA01000080.1","SAMN03075671",1,"TEM-243","US","North America","2012","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"Turkey cecum",NA,NA,"plasmid"
"NZ_JRQB01000027.1","NZ_JRQB01000027.1","SAMN03075672",1,"TEM-1","US","North America","2012","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"Turkey cecum",NA,NA,"plasmid"
"NZ_CM003131.1","NZ_CM003131.1","SAMN03075673",1,"TEM-1","US","North America","2012","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"Turkey cecum",NA,NA,"plasmid"
"NZ_JRRF01000024.1","NZ_JRRF01000024.1","SAMN03075675",1,"CMY-2","US","North America","2012","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"Turkey cecum",NA,NA,"plasmid"
"NZ_CP073712.1","NZ_CP073712.1","SAMN03077634",1,"OXA-193","missing","missing","missing","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","Guillain Barre syndrome patient",NA,"missing","chromosome"
"NZ_CP004369.1","NZ_CP004369.1","SAMN03081457",1,"OXA-59","Australia","East Asia & Pacific","1998","Burkholderia pseudomallei","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP006798.1","NZ_CP006798.1","SAMN03081487",2,"SHV-28,OXA-1","US","North America","missing","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"urine",NA,NA,"chromosome"
"NZ_CP006799.1","NZ_CP006799.1","SAMN03081487",2,"OXA-1,NDM-1","US","North America","missing","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"urine",NA,NA,"plasmid"
"NZ_CP006801.1","NZ_CP006801.1","SAMN03081487",4,"TEM-1,SHV-11,CTX-M-15,OXA-9","US","North America","missing","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"urine",NA,NA,"plasmid"
"NZ_CP006802.1","NZ_CP006802.1","SAMN03081487",1,"OXA-232","US","North America","missing","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"urine",NA,NA,"plasmid"
"NZ_CP006918.1","NZ_CP006918.1","SAMN03081501",1,"SHV-11","US","North America","2010","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urinary tract infection",NA,NA,"chromosome"
"NZ_CP006919.1","NZ_CP006919.1","SAMN03081501",2,"TEM-40,KPC-3","US","North America","2010","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urinary tract infection",NA,NA,"plasmid"
"NZ_CP006922.1","NZ_CP006922.1","SAMN03081501",1,"TEM-156","US","North America","2010","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urinary tract infection",NA,NA,"plasmid"
"NZ_CP006924.1","NZ_CP006924.1","SAMN03081502",2,"TEM-169,OXA-9","US","North America","2010","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urinary tract infection",NA,NA,"plasmid"
"NZ_CP006926.1","NZ_CP006926.1","SAMN03081502",3,"TEM-1,KPC-3,OXA-9","US","North America","2010","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urinary tract infection",NA,NA,"plasmid"
"NZ_CP006928.1","NZ_CP006928.1","SAMN03081502",1,"TEM-1","US","North America","2010","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urinary tract infection",NA,NA,"plasmid"
"NZ_CP006963.1","NZ_CP006963.1","SAMN03081512",1,"OXA-66","India","South Asia","missing","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","wound infection of a hospitalized patient",NA,NA,"chromosome"
"NZ_CP006980.1","NZ_CP006980.1","SAMN03081515",1,"OXA-50","missing","missing","missing","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria",NA,NA,NA,NA,"chromosome"
"NZ_CP006981.1","NZ_CP006981.1","SAMN03081516",1,"OXA-50","missing","missing","missing","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria",NA,NA,NA,NA,"chromosome"
"NZ_CP006982.1","NZ_CP006982.1","SAMN03081517",1,"OXA-50","missing","missing","missing","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria",NA,NA,NA,NA,"chromosome"
"NZ_CP006983.1","NZ_CP006983.1","SAMN03081518",1,"OXA-50","missing","missing","missing","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria",NA,NA,NA,NA,"chromosome"
"NZ_CP006984.1","NZ_CP006984.1","SAMN03081519",1,"OXA-50","missing","missing","missing","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria",NA,NA,NA,NA,"chromosome"
